Code,Country,Export-Total-2013 (1000USD),Import-Total-2013 (1000USD),Export-Total-2014 (1000USD),Import-Total-2014 (1000USD),Export-Total-2015 (1000USD),Import-Total-2015 (1000USD),Export-Total-2016 (1000USD),Import-Total-2016 (1000USD),Export-Total-2017 (1000USD),Import-Total-2017 (1000USD)
THA,Thailand,56702956.72,104663793.8,52408308.5,88726700.96,46488706.27,72512244.59,48519928.71,64352619.88,40521335.28,49396321.59
TJK,Tajikistan,842137.355,1271364.049,682733.087,1322950.982,770801.065,1088046.509,681633.59,832745.735,876925.212,960071.732
TKL,Tokelau,20986.952,3064.812,1804.981,229.494,6592.775,1196.352,1019.956,1097.219,52311.03,37395.189
TKM,Turkmenistan,10973334.75,1045936.737,11441027.28,1033932.083,9717701.177,762767.167,7334051.442,612034.924,7566356.374,425898.173
TLS,Timor-Leste,568672.808,229199.5452,124746.262,291001.935,334932.161,158304.645,59536.768,175966.589,100465.0475,277616.3094
TON,Tonga,11779.32501,51160.05431,14717.79991,57732.17153,10077.735,69447.444,11702.636,82358.204,13617.838,29407.535
TTO,Trinidad and Tobago,16891140.85,7601146.888,14288882.32,6527180.44,8573454.56,4036714.238,5421278.49,1710139.796,5892988.589,2003577.116
TUN,Tunisia,6353276.479,10521596.56,5004349.183,10968045.75,3773303.809,7729778.918,3020623.882,6178526.209,3029896.851,7506285.395
TUR,Turkey,44768367.68,87573089.32,42283402.44,82493927.06,39325992.23,60711665.56,38213817.81,57371473.81,40971012.56,80967189.42
TUV,Tuvalu,24020.877,9159.578,5154.077,11341.278,6386.092,10470.077,8788.94,8601.513,2069.788,16340.657
TWN,"Taiwan, Province of China",,,,,,,,,,
TZA,"Tanzania, United Republic of",5008057.307,7556237.023,5952194.293,6355675.098,5852391.17,8801373.915,5521758.287,2754322.179,4489346.487,3191022.397
UGA,Uganda,1892101.068,1762550.549,1803774.862,1866012.504,1836340.068,1508480.909,2012917.124,1336148.972,1923057.483,2075658.703
UKR,Ukraine,44599617.73,35768902.49,43536889.52,25128895.13,31302275.47,17076555.24,28589387.09,14419312.5,35475367.49,19739189.51
UMI,United States Minor Outlying Islands,5489.6,10429.331,4954.395,3768.086,13064.794,29433.358,1815.038,1632.086,3304.558,1948.52
URY,Uruguay,9248148.82,4439226.403,9332161.214,3943750.826,8357335.261,2926322.206,7934232.783,2223459.853,8842155.697,3264736.401
USA,United States,392020948.4,604514070.8,397788753.2,595014157.8,321332108.9,413243042.6,297534170.5,377493231.2,354466349.8,428165176.4
UZB,Uzbekistan,6084596.883,3556452.713,4868654.856,3517646.859,5060107.604,2809113.486,5809999.829,2348419.003,6988251.505,3163028.218
VAT,Holy See (Vatican City State),73.909,17296.854,490.795,15424.006,676.333,8698.869,57.431,7671.506,820.964,9021.087
VCT,Saint Vincent and the Grenadines,31818.51256,190866.8791,30061.93519,178346.0244,85717.36679,123310.1595,69222.24089,121841.4398,116590.33,116121.1507
VEN,Venezuela,151381216,12990915.85,68618699.42,12771511.11,36923458.86,8762834.266,28447829.36,4813027.372,29737874.82,4123106.638
VGB,"Virgin Islands, British",275788.642,667660.756,122712.05,467044.991,164681.508,123622.756,147377.696,86069.688,52970.378,145159.283
VIR,"Virgin Islands, U.S.",,,,,,,,,,
VNM,Vietnam,36596454.86,45879747.26,39062913.28,48926472.57,34052173.24,46049787.82,33999803.08,49953702.57,31688916.73,54046532.58
VUT,Vanuatu,299701.18,77357.494,168502.257,88468.106,111398.602,79342.089,134598.804,77289.929,132080.266,74523.917
WLF,Wallis and Futuna,113.735,16329.454,186.772,20863.455,67.522,4405.526,23.813,6045.174,19.962,6384.012
WSM,Samoa,16763.0551,185735.4396,16244.4369,195961.9112,44932.86737,180343.9603,41896.69199,165080.8011,37101.76625,188099.6433
XKX,Kosovo (temporary code),,,,,,,,,,
XTX,Turkish Rep N Cyprus (temporary code),,,,,,,,,,
YEM,Yemen,9695774.867,6343766.535,7696353.417,7271988.514,2049542.671,4783289.696,901763.676,3012921.367,1549411.128,2997796.043
ZAF,South Africa,74946145.04,36670342.92,68767082.85,34393111.28,70345785,24263828.31,57187165.69,22741904.91,69397353.65,23348660.65
ZMB,Zambia,12289821.71,3162746.943,13251388.41,3859477.818,9589240.744,3272941.735,5563025.319,771077.444,9566460.076,3144218.06
ZWE,Zimbabwe,2908786.931,2918686.636,2943884.113,2768816.268,2640768.155,2749329.618,2483727.959,2463035.086,1856837.904,719973.711
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
